# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-T" "12" "-Q" "10" "-s" "2" "-t" "exon" "-g" "gene_id" "-a" "/export/III-data/waters/ql9f/Plasmodium_genome/pber/PlasmoDB-53_PbergheiANKA.gff" "-o" "set6.count.tsv" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-1_S2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-2_S6.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-3_S10.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-1_S4.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-2_S8.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-3_S12.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-2_S14.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-3_S16.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-5_S18.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-1_S2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-2_S4.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-3_S6.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-1_S1.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-2_S5.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-3_S9.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-1_S3.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-2_S7.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-3_S11.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-2_S13.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-3_S15.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-5_S17.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-1_S1.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-2.sorted.bam" "/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-3_S5.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-1_S2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-2_S6.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-16-3_S10.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-1_S4.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-2_S8.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-24-3_S12.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-2_S14.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-3_S16.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-8-5_S18.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-1_S2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-2_S4.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/1614-G-3_S6.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-1_S1.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-2_S5.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-16-3_S9.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-1_S3.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-2_S7.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-24-3_S11.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-2_S13.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-3_S15.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-8-5_S17.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-1_S1.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-2.sorted.bam	/export/projects/III-data/waters/ql9f/working_dir/6_project_23072018_09102018_13112018_RNA/507-G-3_S5.sorted.bam
PBANKA_1446200	PbANKA_14_v3	1774308	1774736	+	429	642	1137	231	403	713	865	444	1737	446	781	560	574	221	177	218	311	213	155	258	311	239	540	666	754
PBANKA_1028200	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1148039;1148232;1148553;1148858;1154886	1148074;1148382;1148696;1154787;1154984	+;+;+;+;+	6360	9247	6096	12578	7300	8557	7235	6103	5047	10087	13154	11419	8480	6703	10910	8142	6855	6544	5443	7279	10398	6404	17560	16460	18462
PBANKA_0505300	PbANKA_05_v3	204299	209155	-	4857	92	345	185	313	459	208	193	198	202	147	118	76	347	408	261	732	775	585	151	208	117	120	118	128
PBANKA_0700521	PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3	42938;43203;43560;43788;44001;44433	43068;43455;43626;43897;44234;44513	+;+;+;+;+;+	876	6	3	13	42	24	2	17	9	20	19	24	23	32	15	12	32	31	33	2	6	1	4	2	1
PBANKA_0813300	PbANKA_08_v3	586799	588166	-	1368	2901	6598	4477	1367	4043	3777	5333	8111	5288	2853	2361	2397	1052	1613	1999	1128	1006	1106	5421	6439	5822	2857	4227	4989
PBANKA_1301900	PbANKA_13_v3;PbANKA_13_v3	114784;117252	117011;117342	-;-	2319	167	186	360	374	292	150	297	220	326	342	398	252	572	812	435	461	385	225	216	402	200	297	380	270
PBANKA_0316861	PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3	596181;596302;597231	596195;597141;597317	+;+;+	942	45	138	117	61	81	85	189	391	208	140	141	81	35	41	118	52	53	42	192	284	201	111	148	121
PBANKA_1351500	PbANKA_13_v3	1963534	1965222	-	1689	16	26	192	237	232	62	113	47	71	14	16	10	146	334	508	229	287	252	260	352	136	8	20	5
PBANKA_0709900	PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3	381692;382330;384380	382250;384303;385539	+;+;+	3693	135	265	469	453	635	222	178	164	238	115	103	49	398	560	327	562	604	616	135	207	90	74	123	65
PBANKA_1429400	PbANKA_14_v3	1142028	1142309	+	282	1181	2445	2886	1426	1389	2752	3528	3630	3283	1890	2044	1922	2044	2126	2494	1178	1655	1715	3261	4495	3686	1413	2212	1230
PBANKA_1350000	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1916350;1916537;1916990	1916383;1916811;1917178	+;+;+	498	738	1188	2065	3109	3644	1751	2237	1388	1608	501	503	379	2812	2354	2403	4066	3874	2557	2089	2493	1934	427	725	482
PBANKA_0612841	PbANKA_06_v3	550161	550232	+	72	11	18	25	97	81	9	46	0	14	1	1	0	68	79	46	102	90	77	23	31	38	0	1	0
PBANKA_1425100	PbANKA_14_v3	960267	961904	+	1638	3736	5258	9898	9874	10237	7342	10933	7653	10833	4197	4199	2793	8355	9822	10149	6533	8607	7954	7194	10321	6872	2504	3187	2093
PBANKA_1436100	PbANKA_14_v3	1356173	1357018	-	846	567	462	1564	2231	1762	654	764	356	824	448	461	281	2245	2919	1232	2560	2656	1581	592	966	501	387	458	360
PBANKA_1341600	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1627016;1627245;1627465;1627646;1627867;1628066;1628301;1628447;1628875;1629045	1627102;1627378;1627534;1627726;1627968;1628187;1628352;1628775;1628935;1629431	-;-;-;-;-;-;-;-;-;-	1425	142	314	222	369	346	353	495	380	406	402	388	309	305	346	522	282	409	487	502	579	519	206	419	227
PBANKA_API00390	PbANKA_API_v3	30154	30789	-	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBANKA_1452800	PbANKA_14_v3	2028843	2031548	+	2706	3801	2460	4758	3506	3141	3898	3169	3177	6919	4855	4304	3526	3464	6193	4136	3977	5114	3460	3560	5110	3041	5012	4711	4979
PBANKA_0507800	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	325576;325747;326047;327059;327670;327888;328023;328207	325632;325904;326692;327470;327778;327924;328058;328230	-;-;-;-;-;-;-;-	1479	325	507	874	226	341	630	816	931	1258	667	938	613	305	522	1312	258	378	492	1192	2086	844	1060	1009	692
PBANKA_1404100	PbANKA_14_v3;PbANKA_14_v3	229815;230158	230022;230942	-;-	993	346	631	594	948	1249	533	751	692	723	407	313	271	956	796	502	887	787	424	520	477	554	332	516	324
PBANKA_0707100	PbANKA_07_v3	296800	298284	+	1485	58557	74131	118716	56366	77102	97470	123609	124328	139098	90215	73570	56036	98490	162669	307868	66572	101983	142573	261079	270439	258450	126853	145719	142204
PBANKA_0910600	PbANKA_09_v3	398633	399010	-	378	168	363	409	391	500	213	536	403	486	121	113	101	326	365	504	354	278	210	563	740	606	111	136	151
PBANKA_1300051	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	14612;14888;15217;15484;15682;16027	14732;15120;15286;15560;15882;16050	+;+;+;+;+;+	726	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBANKA_1002000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	132916;133129;133530;133883;134079;135308;135484;135800;136096	133013;133380;133698;133946;135192;135359;135517;135855;136098	-;-;-;-;-;-;-;-;-	1842	2809	2462	3382	2023	2544	3342	1776	2016	3601	3487	3409	2204	2743	3642	2816	3553	3347	2084	2466	2471	2326	4798	4713	3667
PBANKA_0400500	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	8143;8540;10945	8454;10834;10959	-;-;-	2622	209	352	666	85	298	509	426	776	239	421	316	252	235	248	527	128	195	226	652	900	1788	635	1074	552
PBANKA_0007300	PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2;PbANKA_00_v3_archived_contig_2	21343;21505;21675;21985	21414;21672;21982;22165	-;-;-;-	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBANKA_1023400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	936065;936245;936501	936132;936323;937847	+;+;+	1494	971	1521	3556	4980	6076	2002	4002	1665	3126	935	836	490	6498	6198	5335	9108	8886	5889	3116	4702	2789	486	764	521
PBANKA_0209900	PbANKA_02_v3;PbANKA_02_v3	350351;351398	351215;351822	+;+	1290	85	142	151	625	571	111	224	180	251	136	125	107	353	372	148	811	540	279	161	205	109	88	133	92
PBANKA_0720800	PbANKA_07_v3	762750	764069	+	1320	597	986	933	1208	1323	1171	825	738	935	636	550	427	792	910	699	1850	1851	1244	451	730	347	416	639	323
PBANKA_0907000	PbANKA_09_v3	236054	237952	-	1899	705	899	1327	766	1031	1029	951	913	1292	851	899	592	804	1871	3502	1370	1821	1626	1571	2510	900	560	536	720
PBANKA_1241600	PbANKA_12_v3	1582111	1582854	-	744	54	143	127	131	183	73	110	70	102	48	47	45	66	107	65	117	73	71	59	72	72	24	39	45
PBANKA_1416800	PbANKA_14_v3	666948	671480	+	4533	164	69	865	698	606	160	435	53	703	124	119	80	990	1975	2586	1223	2221	2163	861	1374	631	201	157	159
PBANKA_1206900	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	282779;283259;284841	283067;284211;284936	-;-;-	1338	48202	79485	53848	32837	30594	77632	89403	87043	105353	68522	78671	67710	24948	22782	27480	24120	25825	19663	42300	55207	46022	46893	55659	30544
PBANKA_1204500	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	195651;195811;195992;196133;196387;196616	195704;195837;196035;196199;196475;196751	-;-;-;-;-;-	417	13618	24091	11317	4114	10872	22634	22082	32484	17697	16534	11292	13004	3763	4185	10007	3067	3929	4765	20590	21633	25301	18241	32443	26483
PBANKA_0908800	PbANKA_09_v3;PbANKA_09_v3	307689;308115	307692;309058	+;+	948	3878	4572	8720	5955	7033	7164	4701	3520	5164	1956	1856	1419	8050	11073	8893	9512	10093	7801	5795	8984	4560	2875	2941	2467
PBANKA_0915800	PbANKA_09_v3;PbANKA_09_v3	596217;596508	596346;597466	+;+	1089	497	639	1223	1396	1427	828	990	638	797	448	369	363	1506	1676	1179	1541	1455	1117	845	1213	862	390	611	401
PBANKA_1434800	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	1310147;1310348;1310506;1314966	1310239;1310416;1314862;1314994	-;-;-;-	4548	3509	3020	2231	1266	1596	4200	2995	6339	4648	7916	7135	5318	1116	1329	1128	804	963	765	1653	2034	1421	10006	9278	9293
PBANKA_1213600	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	524804;526671;527219	526435;526825;527438	-;-;-	2007	3192	4333	6569	7004	7048	7112	5591	3786	5277	3417	2958	1969	7462	8133	7391	9084	8690	6732	6400	7713	5027	2519	3345	2660
PBANKA_1019500	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	810030;810505;811623	810102;811283;811652	+;+;+	882	16744	31819	33120	38215	43672	42064	31815	23921	23804	16393	13683	11299	35703	36396	24743	37335	39685	31909	18334	22760	22132	9027	16519	10139
PBANKA_0507900	PbANKA_05_v3	329191	331287	+	2097	203	280	518	76	133	339	374	697	490	542	710	457	136	164	407	39	68	116	489	747	361	559	618	302
PBANKA_0913300	PbANKA_09_v3;PbANKA_09_v3	504837;505144	504884;508035	+;+	2940	167	145	315	329	325	134	238	155	352	251	289	168	270	462	259	170	214	156	186	277	133	223	266	214
PBANKA_1040000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1593402;1593772;1594022;1594497;1594830;1595073;1595247;1595593;1595746;1595972	1593591;1593869;1594346;1594636;1594979;1595151;1595397;1595638;1595823;1596031	+;+;+;+;+;+;+;+;+;+	1317	135	334	455	98	200	282	555	746	887	285	351	251	99	201	609	84	116	208	789	1557	508	357	354	317
PBANKA_0305100	PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3	168669;171183;171443;173304	171058;171323;173101;173334	-;-;-;-	4221	4574	6863	2009	10094	4199	2232	6400	6540	8703	2625	3195	3100	1652	1106	1672	2582	3086	1990	3100	5654	2485	1945	4626	1090
PBANKA_1401900	PbANKA_14_v3	122947	123831	-	885	158	181	341	392	326	248	401	349	644	343	327	183	225	317	258	350	417	297	225	331	195	223	294	197
PBANKA_0504800	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	184105;184259;184503	184173;184381;188972	+;+;+	4662	178	285	473	336	362	215	406	505	601	373	371	240	585	1033	758	1134	1045	1037	632	1026	554	398	378	274
PBANKA_1343000	PbANKA_13_v3	1686716	1688350	+	1635	661	911	1227	1251	1185	1593	2278	1973	2504	1947	1839	1099	851	1015	1332	920	1270	1108	1498	2040	1113	1486	1905	1305
PBANKA_1411300	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	472620;472816;473018;475387	472679;472877;475238;476085	+;+;+;+	3042	3333	2497	4538	4478	3678	3404	3671	2806	7678	7143	7128	4105	3790	5631	4147	4836	5102	3533	3108	4209	2361	4971	4966	4260
PBANKA_0903900	PbANKA_09_v3	144320	147259	+	2940	97	226	247	277	287	135	209	160	254	255	274	167	155	313	223	231	280	346	136	240	108	170	235	163
PBANKA_1319400	PbANKA_13_v3;PbANKA_13_v3	800459;802378	802107;803563	-;-	2835	446	318	1723	1979	1716	576	1308	557	1389	559	579	373	1781	2697	1815	1257	1543	1334	1093	1457	685	560	659	572
PBANKA_1246900	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1793285;1793433;1794349	1793296;1794191;1794408	+;+;+	831	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
PBANKA_0837121	PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3	1401242;1401392;1402308	1401256;1402222;1402388	+;+;+	927	1	5	2	55	20	8	19	14	12	4	7	5	22	13	10	68	48	9	18	37	16	11	12	7
PBANKA_1333000	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	1338182;1338736;1339083	1338496;1338810;1339172	-;-;-	480	737	1637	921	424	1028	982	1502	1707	1102	780	629	726	436	411	906	259	253	271	1447	1712	1447	642	1146	793
PBANKA_MIT01300	PbANKA_MIT_v3	1649	1686	+	38	0	0	2	0	0	1	3	2	3	1	0	0	0	0	0	0	5	2	4	1	8	2	3	3
PBANKA_1449200	PbANKA_14_v3	1903238	1906159	-	2922	342	657	934	948	1303	605	634	319	570	227	206	156	1291	1798	1048	1751	1900	1756	565	857	554	221	203	220
PBANKA_MIT03600	PbANKA_MIT_v3	5772	5854	-	83	5	20	9	6	10	13	29	36	13	16	8	12	17	9	9	24	14	15	42	40	62	27	65	32
PBANKA_1120000	PbANKA_11_v3	745783	748068	+	2286	197	232	562	456	438	195	231	181	302	149	120	101	442	894	597	592	572	465	289	532	270	108	95	142
PBANKA_1400091	PbANKA_14_v3;PbANKA_14_v3	40476;40667	40527;48942	+;+	8328	58	33	96	168	104	30	54	18	117	87	88	35	164	279	187	200	145	146	84	135	75	103	125	87
PBANKA_0616500	PbANKA_06_v3	708724	709257	+	534	1133	1717	3380	3116	3903	2068	3498	1656	2672	972	748	667	3875	6400	13084	5414	9165	8552	8050	9478	4733	862	1188	1149
PBANKA_1003200	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	203579;203841;204240	203693;204040;204524	-;-;-	600	495	826	614	877	931	816	1218	1467	1371	692	573	485	492	447	531	966	984	525	627	901	647	450	706	556
PBANKA_0924700	PbANKA_09_v3	884331	886523	-	2193	1179	1619	2609	2696	2521	1832	2912	1885	3065	1018	1113	741	3186	5186	5993	3752	4532	3389	4811	4496	3335	921	987	880
PBANKA_0506300	PbANKA_05_v3;PbANKA_05_v3	267280;267965	267809;268202	-;-	768	722	1625	1627	1684	2167	1373	1650	1208	1081	741	560	573	1911	1836	1365	2301	2455	1710	1559	1995	1515	705	1152	816
PBANKA_1416900	PbANKA_14_v3;PbANKA_14_v3	672354;672885	672749;676172	-;-	3684	2547	1410	2384	1630	1584	2102	1723	1673	4577	5043	5509	2930	1386	2367	1969	1001	1231	913	1615	2180	1524	4812	3912	3902
PBANKA_0106700	PbANKA_01_v3	273659	277192	+	3534	566	367	1040	1305	1026	456	534	212	1273	509	484	352	1455	2560	1236	2511	3032	2061	637	894	512	504	465	483
PBANKA_0410561	PbANKA_04_v3	387795	387868	-	74	6	11	19	27	54	11	17	5	10	0	0	1	25	27	29	48	53	27	11	19	16	0	1	2
PBANKA_1238400	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1471938;1472234;1472502;1472752;1472938	1472089;1472362;1472628;1472790;1473114	+;+;+;+;+	624	585	1470	1496	1051	1348	1326	2631	2634	2473	1305	1307	1022	853	812	1795	610	722	821	2511	3197	2527	1029	1674	937
PBANKA_0938500	PbANKA_09_v3;PbANKA_09_v3;PbANKA_09_v3	1381442;1382405;1382705	1382308;1382485;1382746	-;-;-	990	4389	8045	8483	7042	7596	8728	10156	8731	8299	7650	5477	5183	5585	5209	4337	5340	5101	3670	8969	9496	10107	6249	11635	7529
PBANKA_1466241	PbANKA_14_v3;PbANKA_14_v3	2544982;2545296	2545050;2545751	+;+	525	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
PBANKA_1441400	PbANKA_14_v3;PbANKA_14_v3	1564215;1564938	1564830;1565116	-;-	795	237	631	711	545	617	707	1609	1633	2333	547	846	361	307	473	1373	441	404	384	1402	2300	951	444	550	447
PBANKA_1203200	PbANKA_12_v3	156752	157705	+	954	82	174	226	478	517	212	201	94	179	46	50	31	372	397	227	436	387	265	133	192	108	42	47	54
PBANKA_1422500	PbANKA_14_v3	883076	885592	-	2517	115	120	106	113	137	104	60	153	121	122	136	94	87	131	80	89	89	68	91	99	97	339	351	387
PBANKA_1134400	PbANKA_11_v3	1290974	1293205	-	2232	835	764	1966	1898	1928	1077	1016	480	2254	1040	1071	681	1907	3549	1562	2860	3048	1671	1007	1829	923	1054	1017	851
PBANKA_1423200	PbANKA_14_v3	900982	904002	+	3021	172	174	590	736	624	218	335	115	390	198	217	129	376	770	548	702	735	482	253	399	167	174	196	149
PBANKA_1364250	PbANKA_13_v3	2436256	2436407	+	152	7	38	20	21	11	10	20	19	18	11	0	9	14	16	8	42	31	22	7	9	11	2	8	6
PBANKA_1019600	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	813138;813463;814816	813252;814644;817601	-;-;-	4083	335	591	1179	1363	1353	696	923	652	1018	645	578	378	1532	2100	1909	2910	3545	3043	933	1410	702	577	578	651
PBANKA_0112500	PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3;PbANKA_01_v3	489776;490138;490325;490561	489937;490210;490416;492033	-;-;-;-	1800	65	153	54	84	54	137	299	291	374	296	274	174	29	34	128	30	41	79	156	393	122	166	340	81
PBANKA_1415400	PbANKA_14_v3	616519	618813	-	2295	15817	17817	21555	6761	16566	17947	16655	22839	22101	15658	12587	10515	4606	6071	10079	3384	3457	3885	21337	26375	17360	17014	18594	19209
PBANKA_0510000	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	412543;412769;412946	412594;412846;413043	-;-;-	228	3282	7377	3525	2388	4268	5366	5181	5497	3672	2154	1383	1858	2293	1735	1697	1999	2189	1636	3659	3719	4534	1327	2299	1938
PBANKA_0809500	PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3	441281;441537;441745	441400;441611;443094	-;-;-	1545	66	101	542	801	842	154	438	74	238	19	19	12	837	1123	1439	1227	1170	1065	961	1274	694	23	40	36
PBANKA_1143800	PbANKA_11_v3	1638791	1639558	+	768	7336	11249	20763	19824	26263	12386	15048	9231	12078	5225	3763	3564	21736	26605	26374	26318	26362	26532	19061	26102	16324	5051	7750	6883
PBANKA_1453200	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	2042411;2042532;2042804;2042956;2043140;2044116	2042429;2042630;2042833;2042994;2043727;2044519	+;+;+;+;+;+	1179	986	2688	2877	3462	3104	3332	6125	4428	5450	1993	2028	997	2467	3577	5517	3423	3625	3391	4997	6452	4923	1509	2112	1681
PBANKA_1430800	PbANKA_14_v3	1174940	1175587	+	648	642	1128	973	1376	1666	1283	2481	2345	2403	1092	952	796	1176	985	1333	884	821	608	2319	2554	2306	828	1325	1076
PBANKA_0833200	PbANKA_08_v3;PbANKA_08_v3	1251035;1251900	1251805;1252391	-;-	1263	1451	1732	4148	3298	5054	2087	2779	1751	2243	1307	1148	1009	4376	5216	5693	5621	5978	4724	4817	5957	3734	1802	1993	1956
PBANKA_1234700	PbANKA_12_v3	1333450	1334790	-	1341	146	267	911	1947	2165	322	659	131	303	66	62	62	1829	1766	809	2760	2001	1572	473	756	442	38	66	71
PBANKA_0809700	PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3	451945;452116;452316;452525;452729;453005;453348;453686	452031;452187;452441;452587;452894;453218;453512;453695	-;-;-;-;-;-;-;-	903	382	1183	1743	1983	3036	751	1933	1008	1252	427	332	348	1593	1737	2467	1857	1530	1521	2026	2551	1915	380	597	486
PBANKA_1210000	PbANKA_12_v3	372012	373652	-	1641	21	119	125	166	169	58	92	40	57	42	32	37	175	224	49	224	213	159	51	65	69	15	16	27
PBANKA_1402700	PbANKA_14_v3;PbANKA_14_v3	177030;177364	177166;178705	-;-	1479	115	215	224	263	157	213	411	422	771	290	226	183	94	166	168	92	89	67	240	286	181	164	187	183
PBANKA_0825500	PbANKA_08_v3;PbANKA_08_v3	988583;990722	990592;993904	+;+	5193	8010	5988	1950	1712	3305	6545	987	4697	2924	12402	11400	8316	1652	2925	1305	2672	2446	1578	740	919	779	13625	12476	13922
PBANKA_0411300	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	404531;405382;406051;406370;406625;406994	405207;405817;406160;406433;406832;407187	-;-;-;-;-;-	1689	1310	2515	3872	1965	2255	3505	2174	3699	2961	1858	2124	1655	3752	4209	5709	2776	4287	4907	3443	4919	4406	2380	3096	1457
PBANKA_1439200	PbANKA_14_v3	1488319	1490823	+	2505	71991	79316	126552	103327	115861	97831	84093	173342	125211	95538	81026	73734	68096	63587	72012	69657	72114	61510	83452	99536	97855	71135	112477	70520
PBANKA_1103400	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	146223;146640;147079	146420;146791;147088	-;-;-	360	4763	9618	8703	8817	6197	11152	13102	11947	9482	7822	6569	6258	7311	7542	7213	5645	8795	7122	8962	10659	10250	3959	8233	4389
PBANKA_0211200	PbANKA_02_v3	406241	408892	-	2652	157	186	328	515	305	296	376	227	572	367	426	229	420	836	533	654	738	337	342	586	276	465	426	403
